TAIR Accession	Locus	Gene Type	Description	Other Name(Type)	Keywords
Locus:2093994	AT3G18750	protein_coding	Encodes a member of the WNK family (9 members in all) of protein kinases; the structural design of which is clearly distinct from those of other known protein kinases, such as receptor-like kinases and mitogen-activated protein kinases. Its transcription is under the control of circadian rhythms.	ARABIDOPSIS THALIANA WITH NO K 6;ATWNK6;WNK6;ZIK5;with no lysine (K) kinase 6	protein phosphorylation;intracellular signal transduction;cytoplasm;cytoplasm;nucleus;protein kinase activity;protein serine/threonine kinase activity;L mature pollen stage;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;M germinated pollen stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;pollen tube cell;root;seed;sepal;shoot axis apex;shoot system;stamen;stem;vascular leaf,
Locus:2166439	AT5G05690	protein_coding	Encodes a member of the CP90A family; a cytochrome P450 monooxygenase which converts 6-deoxocathasterone to 6-deoxoteasterone in the late C6 oxidation pathway and cathasterone to teasterone in the early C6 oxidation pathway of brassinolide biosynthesis.  Expressed in cotyledons and leaves. Mutants display de-etiolation and derepression of light-induced genes in the dark, dwarfism, male sterility and activation of stress-regulated genes in the light. The expression of the gene using a CPD promoter:LUC fusion construct was shown to be under circadian and light control. Additionally, the circadian regulation was shown to be independent of BR levels as it remains unchanged in <i>bri1</i> mutant lines. CPD appears to be involved in the autonomous pathway that regulates the transition to flowering, primarily through a BRI1-mediated signaling pathway that affects FLC expression levels, as uncovered by double mutant analyses.	CABBAGE 3;CBB3;CONSTITUTIVE PHOTOMORPHOGENIC DWARF;CPD;CYP90;CYP90A;CYP90A1;CYTOCHROME P450 90A1;DWARF 3;DWF3	anther wall tapetum cell differentiation;brassinosteroid biosynthetic process;brassinosteroid homeostasis;pollen exine formation;positive regulation of flower development;response to UV-B;response to light stimulus;response to water deprivation;unidimensional cell growth;brassinosteroid biosynthetic process;brassinosteroid homeostasis;mitochondrion;monooxygenase activity;protein binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;plant sperm cell;pollen;root;seed;sepal;shoot axis apex;shoot system;stamen;stem;vascular leaf,
Locus:2016452	AT1G19330	protein_coding	Evening-expressed key component of Sin3-HDAC complex; which bind directly to the CIRCADIAN CLOCK ASSOCIATED 1 (CCA1) and PSEUDO-RESPONSE REGULATOR 9 (PRR9) promoters and catalyze histone 3 (H3) deacetylation at the cognate regions to repress expression, allowing the declining phase of their expression at dusk.	AFR2;SAP30 FUNCTION-RELATED 2	regulation of circadian rhythm;regulation of DNA-templated transcription;nucleus;histone deacetylase complex;protein binding;transcription coregulator activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot axis apex;shoot system;stamen;stem;vascular leaf,
Locus:2037286	AT1G75060	protein_coding	Evening-expressed key component of Sin3-HDAC complex; which bind directly to the CIRCADIAN CLOCK ASSOCIATED 1 (CCA1) and PSEUDO-RESPONSE REGULATOR 9 (PRR9) promoters and catalyze histone 3 (H3) deacetylation at the cognate regions to repress expression, allowing the declining phase of their expression at dusk.	AFR1;SAP30 FUNCTION-RELATED 1	regulation of circadian rhythm;regulation of DNA-templated transcription;nucleus;histone deacetylase complex;protein binding;transcription coregulator activity;guard cell,
Locus:2158372	AT5G43630	protein_coding	Encodes a zinc knuckle protein that negatively regulates morning specific growth. The role of TZP in hypocotyl elongation was established through a QTL analysis of BayXSha RIL populations. The Bay-0 allele contains a deletion causing a frameshift mutation. TZP is under circadian control and acts to regulate morning-specific hypocotyl growth.	TANDEM ZINC KNUCKLE PROTEIN;TZP	DNA-templated transcriptional start site selection;blue light signaling pathway;regulation of DNA-templated transcription;response to blue light;DNA-templated transcriptional start site selection;blue light signaling pathway;nucleus;nucleus;transcription factor binding;cotyledon;guard cell;root system;seedling hypocotyl,
Locus:2151206	AT5G02810	protein_coding	PRR7 and PRR9 are partially redundant essential components of a temperature-sensitive circadian system. CCA1 and LHY had a positive effect on PRR7 expression levels. Acts as transcriptional repressor of CCA1 and LHY.  Acts additively with EC; PRR5 and PRR9 to regulate hypocotyl growth under photoperiodic conditions.	APRR7;PRR7;PSEUDO-RESPONSE REGULATOR 7	circadian rhythm;negative regulation of DNA-templated transcription;red or far-red light signaling pathway;regulation of DNA-templated transcription;response to temperature stimulus;circadian rhythm;red or far-red light signaling pathway;regulation of DNA-templated transcription;nucleus;mitochondrion;nucleus;DNA binding;DNA-binding transcription factor activity;phosphorelay response regulator activity;protein binding;sequence-specific DNA binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;plant sperm cell;pollen;pollen tube cell;root;seed;sepal;shoot axis apex;shoot system;stamen;stem;vascular leaf,
Locus:2195970	AT1G77180	protein_coding	Encodes a putative transcriptional factor.  Shows transcriptional activator activity in yeast.  Involved in response to abscisic acid; salt and osmotic stress. SKIP lengthens period of the circadian clock by impairing the alternative splicing of PRR7 and PRR9. SKIP regulates the splicing of SEF pre-mRNA  and suppresses flowering by activation of FLC.	MAC6;SKIP;SNW/Ski-interacting protein;SUD3	RNA splicing;mRNA splicing, via spliceosome;positive regulation of DNA-templated transcription;regulation of circadian rhythm;regulation of photoperiodism, flowering;response to abscisic acid;response to mannitol;response to salt stress;vegetative to reproductive phase transition of meristem;mitochondrion;nucleolus;nucleus;pre-mRNA binding;protein binding;L mature pollen stage;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;M germinated pollen stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;cultured plant cell;flower;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;plant sperm cell;pollen;pollen tube cell;root;rosette leaf;seed;sepal;shoot axis apex;shoot system;stamen;stem;vascular leaf;whole plant,
Locus:1005716822	AT5G53045	protein_coding	Encodes a member of a novel 6 member Arabidopsis gene family.  Expression of PCC1 is regulated by the circadian clock and is upregulated in response to both virulent and avirulent strains of Pseudomonas syringae pv. tomato. Together with KAE1; BUD32, CGI121 in KEOPS complex, which is involved in biosynthesizing tRNA t6A.	PCC1	tRNA threonylcarbamoyladenosine metabolic process;nucleus;EKC/KEOPS complex;catalytic activity, acting on a tRNA;guard cell,
Locus:2167504	AT5G36910	protein_coding	Encodes a thionin that is expressed at a low basal level in seedlings and shows circadian variation.  Predicted to encode a PR (pathogenesis-related) protein.  Belongs to the plant thionin (PR-13) family with the following members: At1g66100; At5g36910, At1g72260, At2g15010, At1g12663, At1g12660.	THI2.2;THIONIN 2.2	defense response;extracellular region;toxin activity;LP.04 four leaves visible stage;LP.06 six leaves visible stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;cotyledon;flower;guard cell;plant embryo;seed;shoot axis apex;shoot system;vascular leaf,
Locus:2065269	AT2G02570	protein_coding	Similar to SPF30 splicing factor. Under circadian control. Mutants have defects in alternative splicing and show more intron retention compared to wt.SPF30.1 isoform binds to 3&#8242; fragment of FLC intron 1 in vitro and mutants show increased FLC intron retention.SPF30 itself is alternatively spliced with at least 5 isoforms detected. AS is regulated by light and temperature.	SPF30;SPLICING FACTOR 30	mRNA processing;regulation of photoperiodism, flowering;nuclear speck;nucleus;nucleus;RNA binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;M germinated pollen stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;plant sperm cell;pollen;pollen tube cell;root;seed;sepal;shoot axis apex;shoot system;stamen;stem;vascular leaf,
Locus:2061226	AT2G40080	protein_coding	Encodes a novel nuclear 111 amino-acid phytochrome-regulated component of a negative feedback loop involving the circadian clock central oscillator components CCA1 and LHY. ELF4 is necessary for light-induced expression of both CCA1 and LHY; and conversely, CCA1 and LHY act negatively on light-induced ELF4 expression.  ELF4 promotes clock accuracy and is required for sustained rhythms in the absence of daily light/dark cycles.  It is involved in the phyB-mediated constant red light induced seedling de-etiolation process and may function to coregulate the expression of a subset of phyB-regulated genes.	EARLY FLOWERING 4;ELF4	photoperiodism;photoperiodism, flowering;positive regulation of circadian rhythm;red or far-red light signaling pathway;regulation of flower development;response to red light;entrainment of circadian clock;photoperiodism;positive regulation of circadian rhythm;nucleus;nucleus;protein binding;protein homodimerization activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot axis apex;shoot system;stamen;stem;vascular leaf,
Locus:2098802	AT3G30180	protein_coding	Encodes a cytochrome p450 enzyme that catalyzes the last reaction in the production of brassinolide.  It is capable of converting 6-deoxocastasterone into castasterone; a C-6 oxidation, as well as the further conversion of castasterone into brassinolide by a Baeyer-Villinger oxidation reaction at C-6, resulting in the formation of an unusual seven-membered lactone ring.  The enzyme possesses high affinity for both C28- and C27-Brassinosteroids. The expression of the gene using a CYP85A2 promoter:LUC fusion construct was shown to be under circadian and light control.	BR6OX2;BRASSINOSTEROID-6-OXIDASE 2;CYP85A2	brassinosteroid biosynthetic process;brassinosteroid biosynthetic process;brassinosteroid homeostasis;protein farnesylation;response to light stimulus;endoplasmic reticulum;mitochondrion;brassinolide synthase activity;monooxygenase activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;M germinated pollen stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;apical meristem;carpel;cauline leaf;collective leaf structure;cotyledon;flower;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;pollen tube cell;root;seed;sepal;shoot axis apex;shoot system;stamen;stem;vascular leaf,
Locus:2012345	AT1G09530	protein_coding	Transcription factor interacting with photoreceptors phyA and phyB. Forms a ternary complex in vitro with G-box element of the promoters of LHY; CCA1. Acts as a negative regulator of phyB signalling. It degrades rapidly after irradiation of dark grown seedlings in a process controlled by phytochromes. Does not play a  significant role in controlling light input and function of the circadian  clockwork. Binds to G- and E-boxes, but not to other ACEs. Binds to anthocyanin biosynthetic genes in a light- and HY5-independent fashion. PIF3 function as a transcriptional activator can be functionally and mechanistically separated from its role in repression of PhyB mediated processes.	PAP3;PHOTOCURRENT 1;PHYTOCHROME INTERACTING FACTOR 3;PHYTOCHROME-ASSOCIATED PROTEIN 3;PIF3;POC1	de-etiolation;gibberellic acid mediated signaling pathway;positive regulation of anthocyanin metabolic process;red or far-red light signaling pathway;regulation of DNA-templated transcription;response to red or far red light;signal transduction;red or far-red light signaling pathway;regulation of photosynthesis, light reaction;regulation of plant organ morphogenesis;response to abscisic acid;response to auxin;response to cold;response to ethylene;response to heat;response to salt;response to water-immersion restraint stress;unidimensional cell growth;circadian rhythm;nucleus;nucleus;DNA binding;DNA-binding transcription factor activity;identical protein binding;protein binding;sequence-specific DNA binding;transcription cis-regulatory region binding;LP.04 four leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;carpel;cauline leaf;collective leaf structure;flower;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;leaf apex;leaf lamina base;petal;plant embryo;seed;sepal;shoot axis apex;shoot system;stem;vascular leaf,
Locus:2131834	AT4G25470	protein_coding	Encodes a member of the DREB subfamily A-1 of ERF/AP2 transcription factor family (CBF2). The protein contains one AP2 domain. There are six members in this subfamily; including CBF1, CBF2, and CBF3. This gene is involved in response to low temperature, abscisic acid, and circadian rhythm. Overexpressing this gene leads to increased freeze tolerance and induces the expression level of 85 cold-induced genes and reduces the expression level of 8 cold-repressed genes, which constitute the CBF2 regulon. Mutations in CBF2 increases the expression level of CBF1 and CBF3, suggesting that this gene may be involved in a negative regulatory or feedback circuit of the CBF pathway.	ATCBF2;C-REPEAT/DRE BINDING FACTOR 2;CBF2;DRE/CRT-BINDING PROTEIN 1C;DREB1C;FREEZING TOLERANCE QTL 4;FTQ4	cold acclimation;response to cold;regulation of DNA-templated transcription;nucleus;DNA-binding transcription factor activity;cis-regulatory region sequence-specific DNA binding;protein binding;transcription cis-regulatory region binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;flowering stage;petal differentiation and expansion stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;fruit;fruit abscission zone;guard cell;gynoecium;hypocotyl;inflorescence flower pedicel;leaf apex;petal;petiole;root;seed;sepal;shoot axis apex;stamen;stem;vascular leaf;root,
Locus:2100809	AT3G42170	protein_coding	transposase-like gene with conserved domains from the family of hAT transposases that includes hobo from Drosophila melanogaster; Activator (Ac) from maize, and Tam3 from snapdragon but lacks several amino acids known to be essential for Ac transposition5. The DAYSLEEPER gene lacks 8 bp duplications and TIRs (a common feature of transcriptionally silent hAT transposases), however, DAYSLEEPER expression was detected, and several expressed sequence tags are available. The expression seems to be under the control of factors determining the circadian rhythm. DAYSLEEPER was isolated as a factor binding to a motif (Kubox1) present in the upstream region of the Arabidopsis DNA repair gene Ku70. Mutant plants lacking DAYSLEEPER or strongly overexpressing this gene do not develop in a normal manner.	DAYSLEEPER	post-embryonic development;cytosol;nucleus;DNA binding;protein binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;plant sperm cell;pollen;root;rosette leaf;seed;sepal;shoot axis apex;shoot system;stamen;stem;vascular leaf,
Locus:2100676	AT3G55240	protein_coding	mRNA expression activated by PIFs by directly binding to promoter; overexpression causes pale leaves .Interacts with GOLDEN2- LIKE (GLK) transcription factors and suppresses GLK1 activities; thereby causing a decrease in the amounts of chlorophylls and the size of light-harvesting complexes. BPG4 expression is induced by BR deficiency and light, and is regulated by the circadian rhythm. BPG4 deficiency causes increased reactive oxygen species (ROS) generation and damage to photosynthetic activity under excessive high-light conditions. BPG4 acts as a chloroplast homeostasis factor by fine-tuning the expression of PhANGs, optimizing chloroplast development, and avoiding ROS generation. (PMID:38191552) GLKs activate BPG4 expression in the light via direct binding to the BPG4 promoter region as the self-feedback regulation to prevent unnecessary GLK acceleration.	BPG4;BRZ-INSENSITIVE-PALE GREEN 4;PEL1;RPGE2	developmental process;mRNA transcription;positive regulation of chlorophyll biosynthetic process;regulation of chlorophyll biosynthetic process;nucleus;chloroplast;molecular_function;protein binding;transcription corepressor binding;guard cell,
Locus:2131591	AT4G35090	protein_coding	Encodes a peroxisomal catalase; highly expressed in bolts and leaves.  mRNA expression patterns show circadian regulation with mRNA levels being high in the subjective early morning. Loss of function mutations have increased H2O2 levels and increased H2O2  sensitivity. Mutants accumulate more toxic ions yet show decreased sensitivity to Li+. This decreased sensitivity is most likely due to an insensitivity to ethylene.  Note that in Queval et al. (2007) Plant Journal, 52(4):640, SALK_057998 is named as cat2-1, SALK_076998 is named as cat2-2; in Bueso et al. (2007) Plant Journal, 52(6):1052, SALK_076998 is named as cat2-1. TAIR has adopted the nomenclature consistent with that in Bueso et al. (2007) after consultation with the authors: SALK_076998 (cat2-1), SALK_057998 (cat2-2).	CAT2;CATALASE 2	cell redox homeostasis;cellular response to nitrogen starvation;cellular response to phosphate starvation;cellular response to sulfate starvation;hydrogen peroxide catabolic process;photoperiodism;response to cold;response to light stimulus;response to oxidative stress;hydrogen peroxide catabolic process;response to hydrogen peroxide;cytoplasm;peroxisome;plasma membrane;cytosol;cytosolic ribosome;mitochondrion;nucleus;peroxisome;plasma membrane;stromule;cytosol;catalase activity;cobalt ion binding;heme binding;protein binding;L mature pollen stage;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;M germinated pollen stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;seedling development stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;cultured plant cell;flower;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;juvenile vascular leaf;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;pollen tube cell;root;rosette leaf;seed;sepal;shoot axis apex;shoot system;stamen;stem;vascular leaf,
Locus:2145643	AT5G14420	protein_coding	Encodes RGLG2 (RING domain ligase 2); a RING domain ubiquitin E3 ligase that negatively regulates the drought stress response by mediating ERF53 transcriptional activity.	RGLG2;RING domain Ligase2	auxin metabolic process;cytokinin metabolic process;negative regulation of response to water deprivation;protein ubiquitination;nucleus;nucleus;plasma membrane;protein binding;ubiquitin-protein transferase activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;leaf apex;leaf lamina base;leaf vascular system;petal;petiole;plant embryo;plant sperm cell;pollen;root;root vascular system;seed;sepal;shoot axis apex;shoot system;stamen;stem;vascular leaf;shoot epidermal pavement cell,
Locus:2084218	AT3G01650	protein_coding	Encodes RGLG1 (RING domain ligase 1); a RING domain ubiquitin E3 ligase that negatively regulates the drought stress response by mediating ERF53 transcriptional activity.  ABA inhibits myristoylation and induces shuttling of the RGLG1 to promote nuclear degradation of PP2CA.	RGLG1;RING domain Ligase1	auxin metabolic process;cytokinin metabolic process;negative regulation of response to water deprivation;positive regulation of abscisic acid-activated signaling pathway;positive regulation of abscisic acid-activated signaling pathway;protein K63-linked ubiquitination;protein ubiquitination;nucleus;nucleus;plasma membrane;protein binding;ubiquitin protein ligase activity;ubiquitin-protein transferase activity;L mature pollen stage;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;M germinated pollen stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;leaf apex;leaf lamina base;leaf vascular system;petal;petiole;plant embryo;plant sperm cell;pollen;pollen tube cell;root;root vascular system;seed;sepal;shoot axis apex;shoot system;stamen;stem;vascular leaf;guard cell;shoot epidermal pavement cell,
Locus:2184118	AT5G10140	protein_coding	MADS-box protein encoded by FLOWERING LOCUS C - transcription factor that functions as a repressor of floral transition and contributes to temperature compensation of the circadian clock. Expression is downregulated during cold treatment. Vernalization; FRI and the autonomous pathway all influence the state of FLC chromatin. Both maternal and paternal alleles are reset by vernalization, but their earliest activation differs in timing and location. Histone H3 trimethylation at lysine 4 and histone acetylation are associated with active FLC expression, whereas histone deacetylation and histone H3 dimethylation at lysines 9 and 27 are involved in FLC repression. Expression is also repressed by two small RNAs (30- and 24-nt) complementary to the FLC sense strand 3? to the polyA site. The small RNAs are most likely derived from an antisense transcript of FLC. Interacts with SOC1 and FT chromatin in vivo. Member of a protein complex.	AGAMOUS-LIKE 25;AGL25;FLC;FLF;FLOWERING LOCUS C;FLOWERING LOCUS F;REDUCED STEM BRANCHING 6;RSB6	negative regulation of flower development;regulation of circadian rhythm;response to temperature stimulus;vernalization response;negative regulation of flower development;regulation of photoperiodism, flowering;regulation of transcription by RNA polymerase II;response to temperature stimulus;nucleus;nucleus;protein-containing complex;DNA-binding transcription factor activity;DNA-binding transcription factor activity, RNA polymerase II-specific;RNA polymerase II cis-regulatory region sequence-specific DNA binding;protein binding;transcription cis-regulatory region binding;petal differentiation and expansion stage;plant embryo cotyledonary stage;seed dormant stage;seed germination stage;anther;collective leaf structure;cotyledon;flower;guard cell;hypocotyl;plant embryo;plant ovule integument;portion of meristem tissue;root;root tip;seed;sepal;shoot axis apex,
Locus:2154079	AT5G62430	protein_coding	Dof-type zinc finger domain-containing protein; similar to H-protein promoter binding factor-2a GI:3386546 from (Arabidopsis thaliana). Represses expression of Constans (CO), a circadian regulator of flowering time.  Interacts with LKP2 and FKF1. Expression oscillates under constant light conditions. Mainly expressed in the vasculature of cotyledons, leaves and hypocotyls, but also in stomata. Localized to the nucleus and acts as a repressor of CONSTANS through binding to the Dof binding sites in the CO promoter. Protein gets degraded by FKF1 in the afternoon. CDF1 binds to the TOPLESS co-repressor protein through an N-terminal motif which is conserved across CDF-like proteins throughout land-plants. This interaction is important for the repression of CO and FT genes during the morning. Loss of CDF1 dependent repression through omission of TPL coordinating residues or through the loss of TPL function in phloem companion cells results in early flowering due to an up regulation of FT.	CDF1;CYCLING DOF FACTOR 1	chloroplast organization;negative regulation of DNA-templated transcription;regulation of DNA-templated transcription;regulation of timing of transition from vegetative to reproductive phase;vegetative to reproductive phase transition of meristem;nucleus;DNA binding;DNA-binding transcription factor activity;DNA-binding transcription repressor activity, RNA polymerase II-specific;RNA polymerase II cis-regulatory region sequence-specific DNA binding;protein binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;flowering stage;petal differentiation and expansion stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;companion cell;cotyledon;flower;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;leaf apex;leaf lamina base;petal;plant embryo;plant sperm cell;pollen;portion of vascular tissue;root;sepal;shoot axis apex;shoot system;stamen;stem;stomatal complex;vascular leaf,
Locus:2005531	AT4G18290	protein_coding	Encodes KAT2; a member of the Shaker family potassium ion (K+) channel.  Critical to stomatal opening induced by blue light. Critical to circadian rhythm of stomatal opening. Involved in plant development in response to high light intensity. Under high light intensity, the mutant plant produced less biomass compared to the wild type. The Shaker family K+ ion channels include five groups based on phylogenetic analysis (FEBS Letters (2007) 581: 2357): I (inward rectifying channel): AKT1 (AT2G26650), AKT5 (AT4G32500) and SPIK (also known as AKT6, AT2G25600); II (inward rectifying channel): KAT1 (AT5G46240) and KAT2 (AT4G18290); III (weakly inward rectifying channel): AKT2 (AT4G22200); IV (regulatory subunit involved in inwardly rectifying conductance formation): KAT3 (also known as AtKC1, AT4G32650); V (outward rectifying channel): SKOR (AT3G02850) and GORK (AT5G37500).	KAT2;POTASSIUM CHANNEL IN ARABIDOPSIS THALIANA 2	circadian rhythm;response to high light intensity;stomatal movement;potassium ion transmembrane transport;plasma membrane;chloroplast;nucleus;inward rectifier potassium channel activity;protein binding;LP.04 four leaves visible stage;LP.08 eight leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;carpel;collective leaf structure;cotyledon;flower;guard cell;inflorescence flower pedicel;petal;petiole;plant embryo;pollen;seed;sepal;shoot axis apex;shoot system;stamen;stem;vascular leaf,
Locus:2086475	AT3G27920	protein_coding	Encodes GL1; a Myb-like protein that is required for induction of trichome development. Interacts with JAZ and DELLA proteins to regulate trichome initiation. Natural hyperfunctional alleles producing trichome development in fruits and pedicels have been found.	ATGL1;ATMYB0;GL1;GLABRA 1;MALAMBRUNO3;MAU3;MYB DOMAIN PROTEIN 0;MYB0;myb domain protein 0	cell fate specification;fruit development;gibberellic acid mediated signaling pathway;jasmonic acid mediated signaling pathway;regulation of protein localization;regulation of trichome morphogenesis;trichome differentiation;trichome patterning;cell differentiation;regulation of DNA-templated transcription;nucleus;nucleus;DNA binding;DNA-binding transcription factor activity;protein binding;transcription cis-regulatory region binding;petal differentiation and expansion stage;plant embryo cotyledonary stage;flower;seed;shoot axis apex;shoot system;vascular leaf,
